contrato;objeto;portal_de_compras;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa_principal;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_de_execucao_do_contrato
006/2015;CONSTRUÇÃO DE CADEIA MASCULINA EM UBÁ.;Não Disponível;2015-06-01;2015-06-08 00:00:00;2016-06-01 00:00:00;Andamento;CONSTRUTORA ITAMARACA LTDA;30018048000198,0;SECRETARIA DE ESTADO DE DEFESA SOCIAL;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra/Projeto de Implantação - Construção; Obra 1 - CONSTRUÇÃO DE CADEIA MASCULINA - 388 VAGAS; Obra 1 - Ubá;360,0;0,0;0,0;360,0;16713686,61;0,0;16713686,61;0,0;0,0;0,0;16713686,61;0,0
010/2016;ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA DA ESCOLA DE SAÚDE PÚBLICA - UNIDADES I E II;Não Disponível;2016-03-30;2017-07-06 00:00:00;2024-06-09 00:00:00;Extinto;FAGUNDES TECNOLOGIA E ARQUITETURA LTDA - ME;21851976000148,0;ESCOLA DE SAÚDE PÚBLICA DE MINAS GERAIS ;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra/Projeto de Implantação - Reforma e/ou Ampliação; Obra 1 - ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA DA ESCOLA DE SAÚDE PÚBLICA - UNIDADES I E II, NO MUNICÍPIO DE BELO HORIZONTE; Obra 1 - Belo Horizonte;360,0;570,0;1601,0;2531,0;211892,26;23096,1;234988,36;171461,56;36791,86;208253,42;63526,8;0,729659801021634
021/2015;"CONSTRUÇÃO E.E. ""ASC"" - VESPASIANO - NOVA PAMPULHA";Não Disponível;2015-09-24;2015-11-01 00:00:00;2020-03-05 00:00:00;Execução concluída;E F PROJETOS E ENGENHARIA LTDA;42927327000153,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO GLOBAL;Construção e Reforma;Obra/Projeto de Implantação - Construção;" Obra 1 - CONSTRUÇÃO DO PRÉDIO DA ESCOLA ESTADUAL ""ASC"" NO BAIRRO NOVA PAMPULHA, COM 14 (QUATORZE) SALAS D AULA"; Obra 1 - Vespasiano;360,0;1035,0;192,0;1587,0;4347301,05;-38959,89;4308341,16;4308341,16;424278,94;4732620,1;0,0;1,0
022/2015;"CONSTRUÇÃO DO PRÉDIO DA ESCOLA ESTADUAL ""ASC"" NO BAIRRO SANTA CRUZ - 14 SALAS DE AULA";Não Disponível;2015-09-23;2015-11-01 00:00:00;2020-03-07 00:00:00;Execução concluída;E F PROJETOS E ENGENHARIA LTDA;42927327000153,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO GLOBAL;Construção e Reforma;Obra/Projeto de Implantação - Construção;" Obra 1 - CONSTRUÇÃO DO PRÉDIO DA ESCOLA ESTADUAL ""ASC"" NO BAIRRO SANTA CRUZ - 14 SALAS DE AULA"; Obra 1 - Vespasiano;360,0;960,0;269,0;1589,0;3609595,9;-13555,66;3596040,24;3596040,2;513480,29;4109520,49;0,04;0,999999988876654
032/2015;EXECUÇÃO DO REMANESCENTE DA OBRA DE CONSTRUÇÃO DA ESCOLA ESTADUAL ROMERO DE CARVALHO - 10 SALAS DE AULA;Não Disponível;2015-11-12;2015-12-09 00:00:00;2020-02-12 00:00:00;Execução concluída;CONSTRUTORA JOSIAS LTDA;21708847000103,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;DISPENSA DE LICITAÇÃO;EMPREITADA POR PREÇO GLOBAL;Construção e Reforma;Obra/Projeto de Implantação - Construção; Obra 1 - EXECUÇÃO DO REMANESCENTE DA OBRA DE CONSTRUÇÃO DA ESCOLA ESTADUAL ROMERO DE CARVALHO - 10 SALAS DE AULA; Obra 1 - Pedro Leopoldo;408,0;450,0;669,0;1527,0;2570020,4;491347,27;3061367,67;3061367,59;216439,97;3277807,56;0,08;0,999999973867889
037/2015;ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA E RESTAURAÇÃO DO INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS - IEMG;Não Disponível;2015-12-29;2016-02-29 00:00:00;2024-10-21 00:00:00;Execução concluída;BELARQ - ARQUITETURA E URBANISMO LTDA;2031935000160,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra/Projeto de Implantação - Reforma e/ou Ampliação; Obra 1 - ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA REFORMA E RESTAURAÇÃO DO INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS - IEMG, NO MUNICÍPIO DE BELO HORIZONTE/MG; Obra 1 - Belo Horizonte;450,0;840,0;1868,0;3158,0;334187,71;82415,15;416602,86;409252,86;40860,18;450113,04;7350,0;0,982357298267227
060-2014;IMPLANTAÇÃO DAS BACIAS DE DETENÇÃO E RESPECTIVAS INFRAESTRUTURAS PARA O EMPREENDIMENTO DA OBRA DE CONTROLE DE CHEIAS NO CÓRREGO RIACHO DAS PEDRAS;Não Disponível;2014-09-11;2015-11-20 00:00:00;2021-02-04 00:00:00;Andamento;VIA ENGENHARIA S/A;584755000695,0;SECRETARIA DE TRANSPORTES E OBRAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra/Projeto de Implantação - Construção;" Obra 1 - IMPLANTAÇÃO DAS BACIAS DE DETENÇÃO E RESPECTIVAS INFRAESTRUTURAS PARA O EMPREENDIMENTO DA OBRA DE ""CONTROLE DE CHEIAS NO CÓRREGO RIACHO DAS PEDRAS""."; Obra 1 - Contagem;900,0;785,0;219,0;1904,0;97327405,2;17916333,71;115243738,91;45572880,04;7121592,68;52694472,72;69670858,87;0,39544777417878
09394579/2023;EXEC.OBRAS PARA ADEQUAÇÃO DO PSCIP E REFORMAS NA EE.MARILIA DE DIIRCEU EM OURO PRETO;126199901123;2023-10-04;2023-11-13 00:00:00;2024-12-21 00:00:00;Execução concluída;CONSTRUTORA AGD LTDA;10651663000120,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DAS OBRAS ADEQUAÇÃO DO SISTEMA DE PREVENÇÃO E COMBATE A INCÊNDIO E PÂNICO E REFORMAS NA E.E. MARÍLIA DE DIRCEU-OURO PRETO; Obra 1 - Ouro Preto;360,0;45,0;0,0;405,0;1698610,26;293602,26;1992212,52;1477442,7;72718,24;1550160,94;514769,82;0,741608982559752
22.009/17;RESTAURAÇÃO E AMPLIAÇÃO ESCOLA ESTADUAL PAULA ROCHA SABARÁ;Não Disponível;2017-06-22;2017-07-14 00:00:00;2022-09-10 00:00:00;Execução concluída;CGP;41699364000199,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra/Projeto de Implantação - Reforma e/ou Ampliação; Obra 1 - RESTAURAÇÃO E AMPLIAÇÃO ESCOLA ESTADUAL PAULA ROCHA SABARÁ; Obra 1 - Sabará;900,0;654,0;331,0;1885,0;3333135,57;1539590,6;4872726,17;4502122,07;984763,0;5486885,07;370604,1;0,923943171220721
9394445/2023;REFORMA DO PRÉDIO DA UNIDADE REGIONAL DO IPSEMG DE TEÓFILO OTONI;201129100223;2023-09-26;2023-11-06 00:00:00;2024-09-02 00:00:00;Execução concluída;AVANT ENGENHARIA LTDA - ME;21053560000184,0;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - REFORMA DO PRÉDIO DA UNIDADE REGIONAL DO IPSEMG - INSTITUTO DE PREVIDÊNCIA DOSSERVIDORES DO ESTADO DE MINAS GERAIS, LOCALIZADA NO MUNICÍPIO DE TEÓFILO; Obra 1 - Teófilo Otoni;180,0;60,0;62,0;302,0;680077,68;99846,81;779924,49;771603,52;27546,21;799149,73;8320,97;0,98933105690783
